x [nm],y [nm],z [nm],ExRe [V/m],ExIm [V/m],EyRe [V/m],EyIm [V/m],EzRe [V/m],EzIm [V/m]
2325,3125,0,1.0036515,-0.025483932,0.002375352,-0.023629911,0.005179012,-0.012948219
2375,3125,0,1.0200543,-0.030239748,-0.007824246,-0.021970544,-0.003424367,-0.014046693
2425,3125,0,1.0327373,-0.043262128,-0.016320102,-0.01609084,-0.011691473,-0.012005959
2475,3125,0,1.0391061,-0.061848305,-0.021369155,-0.007116236,-0.017825957,-0.007071739
2525,3125,0,1.0379372,-0.082170881,-0.021877047,0.003131602,-0.020359609,-0.000315368
2575,3125,0,1.0297388,-0.10007028,-0.017693512,0.012480708,-0.018602643,0.006573234
2625,3125,0,1.016724,-0.11197668,-0.009715833,0.018870868,-0.012904261,0.011729115
2675,3125,0,1.0023543,-0.11575696,0.000251401,0.020839326,-0.004612733,0.013649186
2725,3125,0,0.99049991,-0.11126053,0.009887362,0.017920166,0.004269295,0.011652658
2775,3125,0,0.98453134,-0.10026038,0.016880663,0.010758272,0.011605451,0.006052956
2825,3125,0,0.98633522,-0.086091429,0.019465152,0.001137134,0.015626095,-0.001800296
2875,3125,0,0.99576133,-0.072682433,0.017023925,-0.008492219,0.015504319,-0.009901431
2925,3125,0,1.0107142,-0.063427091,0.010222103,-0.015638312,0.011513356,-0.016113002
2975,3125,0,1.0276769,-0.060273953,0.000891962,-0.018416341,0.004982767,-0.018708952
3025,3125,0,1.042654,-0.063203037,-0.008420171,-0.016091874,-0.002022685,-0.016862461
3075,3125,0,1.0522555,-0.070263043,-0.015132472,-0.009336717,-0.007242743,-0.01093897
3125,3125,0,1.0546165,-0.078164041,-0.017356928,-9.83E-05,-0.008872309,-0.002484691
3175,3125,0,1.0498915,-0.083261497,-0.014472029,0.008912739,-0.006151645,0.006144936
3225,3125,0,1.0401667,-0.082662828,-0.007358096,0.014999124,0.000303512,0.012465243
3275,3125,0,1.0287926,-0.075126871,0.001806421,0.016301518,0.008594875,0.014674542
3325,3125,0,1.019311,-0.061473679,0.010164563,0.012418036,0.016097829,0.012323082
3375,3125,0,1.0142914,-0.04436215,0.015059334,0.004597965,0.020342967,0.006560396
3425,3125,0,1.0144453,-0.0274486,0.014907314,-0.004593805,0.019920131,-0.000192563
3475,3125,0,1.0183399,-0.014197696,0.009769009,-0.012072658,0.015046709,-0.005076722
3525,3125,0,1.0228096,-0.006718604,0.001421217,-0.01524792,0.007567424,-0.005837969
3575,3125,0,1.0240862,-0.00490795,-0.007172978,-0.013058908,0.000299477,-0.001803353
3625,3125,0,1.0191911,-0.006628566,-0.012960799,-0.006327845,-0.004110695,0.005920475
3675,3125,0,1.0089648,-0.008447553,-0.013868779,0.00246648,-0.004182522,0.014862796
-3675,3175,0,1.0048375,-0.012857335,0.010481151,-0.00900632,0.000939278,-0.019587751
-3625,3175,0,1.0187109,-0.012879767,0.014077947,-0.001074673,0.004464211,-0.012016028
-3575,3175,0,1.0285013,-0.010493393,0.012522557,0.007517268,0.003844373,-0.003309366
-3525,3175,0,1.0311496,-0.008678508,0.006346628,0.013657083,-0.000890295,0.003771346
-3475,3175,0,1.0280571,-0.010677121,-0.002282815,0.015147864,-0.008098837,0.007039282
-3425,3175,0,1.0222889,-0.018434044,-0.010351226,0.011418936,-0.015154726,0.005686345
-3375,3175,0,1.0175203,-0.031751681,-0.015085761,0.003764805,-0.019472711,0.000650304
-3325,3175,0,1.0166777,-0.048445541,-0.014905227,-0.00526194,-0.019488195,-0.005870201
-3275,3175,0,1.021023,-0.065083414,-0.009855117,-0.012731301,-0.015140097,-0.01125023
-3225,3175,0,1.0297823,-0.078095317,-0.001524843,-0.016276496,-0.007811391,-0.013356623
-3175,3175,0,1.0404392,-0.084904857,0.007510837,-0.014802798,0.000216104,-0.011226452
-3125,3175,0,1.0495584,-0.084715977,0.014512314,-0.008760445,0.006550632,-0.005300269
-3075,3175,0,1.0538743,-0.078739613,0.017393852,5.89E-05,0.00943377,0.002807535
-3025,3175,0,1.0513102,-0.069815055,0.015300691,0.009100411,0.008218154,0.010862261
