x [nm],y [nm],z [nm],ExRe [V/m],ExIm [V/m],EyRe [V/m],EyIm [V/m],EzRe [V/m],EzIm [V/m]
2375,2975,0,1.0317595,-0.01911716,-0.010287022,-0.002490075,-0.017368231,0.001029393
2425,2975,0,1.0286417,-0.029948784,-0.010444661,0.000892869,-0.015719157,0.005813493
2475,2975,0,1.0228481,-0.03884837,-0.00952643,0.00417935,-0.012144158,0.009669898
2525,2975,0,1.0151856,-0.044882141,-0.007570201,0.007021842,-0.007123583,0.012003442
2575,2975,0,1.0067036,-0.04744374,-0.004734125,0.009082594,-0.001364679,0.012428913
2625,2975,0,0.99858057,-0.046338506,-0.00130178,0.010076911,0.004303215,0.010849981
2675,2975,0,0.99197328,-0.041822318,0.002332379,0.009820471,0.009059146,0.007492412
2725,2975,0,0.98785347,-0.034594845,0.005703655,0.008276749,0.012232981,0.002879154
2775,2975,0,0.98689801,-0.02569416,0.008328998,0.005571646,0.013396805,-0.002260767
2825,2975,0,0.98932946,-0.016398506,0.009773546,0.002031443,0.012459967,-0.007065498
2875,2975,0,0.99485159,-0.008026091,0.009757831,-0.001853952,0.009703503,-0.010734534
2925,2975,0,1.0027026,-0.001726826,0.008209783,-0.00549561,0.005709258,-0.012653302
2975,2975,0,1.0117291,0.001703346,0.005308793,-0.008289391,0.001269663,-0.012503732
3025,2975,0,1.0205519,0.00196787,0.00148569,-0.00972357,-0.002751184,-0.01032582
3075,2975,0,1.0277799,-0.000658647,-0.002627243,-0.009486449,-0.005574613,-0.006518097
3125,2975,0,1.0322473,-0.005352532,-0.006295408,-0.007550702,-0.006655347,-0.001771646
3175,2975,0,1.033227,-0.010873305,-0.008815463,-0.004211412,-0.005791127,0.003055654
3225,2975,0,1.0305815,-0.015779279,-0.009661419,-6.09E-05,-0.003169946,0.007101941
3275,2975,0,1.0248089,-0.018701589,-0.008611411,0.004104295,0.000659021,0.009674096
3325,2975,0,1.0169708,-0.018626617,-0.005822827,0.007433578,0.004892458,0.010394328
3375,2975,0,1.0084926,-0.015122732,-0.001831741,0.009204189,0.008639134,0.009285594
3425,2975,0,1.000875,-0.008457559,0.002535122,0.00899291,0.011114904,0.006773025
3475,2975,0,0.99537677,0.000423607,0.006323897,0.006795349,0.011818073,0.003594343
3525,2975,0,0.99272782,0.010069412,0.008656899,0.003063438,0.010648585,0.000642075
3575,2975,0,0.99288738,0.018831164,0.008982762,-0.001353626,0.007964166,-0.001264701
3625,2975,0,0.99508011,0.025260601,0.007204181,-0.005426063,0.00445519,-0.001577046
3675,2975,0,0.99763149,0.028305475,0.003731545,-0.008173955,0.000983701,-0.000145556
-3675,3025,0,1.003503,0.027582012,-0.000258225,0.008898575,0.001081304,-0.001521754
-3625,3025,0,1.0010295,0.026975984,-0.004483338,0.007760792,-0.001665677,0.001017723
-3575,3025,0,0.99772596,0.023118511,-0.007692613,0.004762796,-0.00506918,0.002088222
-3525,3025,0,0.99537498,0.016157741,-0.009131712,0.00062868,-0.008344076,0.001501081
-3475,3025,0,0.99522823,0.00712424,-0.008483566,-0.003674672,-0.010704171,-0.000533598
-3425,3025,0,0.99795032,-0.002493127,-0.005910461,-0.007163613,-0.0115436,-0.003457874
-3375,3025,0,1.0034323,-0.011082398,-0.002025458,-0.00908303,-0.010611184,-0.006482647
-3325,3025,0,1.0108919,-0.017291008,0.002307827,-0.009057927,-0.008048075,-0.008796852
