Theta [deg.],Phi   [deg.],Abs(RCS )[dB(nm^2)],Abs(???  )[dB(nm^2)],Phase(???  )[deg.],Abs(???  )[dB(nm^2)],Phase(???  )[deg.],Ax.Ratio[dB    ]
146.5,180,40.16,40.16,0,40.16,0,-200.00
146,180,28.35,28.35,0,28.35,0,-200.00
145.5,180,33.95,33.95,0,33.95,0,-200.00
145,180,41.54,41.54,0,41.54,0,-200.00
144.5,180,45.00,45.00,0,45.00,0,-200.00
144,180,46.90,46.90,0,46.90,0,-200.00
143.5,180,47.87,47.87,0,47.87,0,-200.00
143,180,48.10,48.10,0,48.10,0,-200.00
142.5,180,47.65,47.65,0,47.65,0,-200.00
142,180,46.52,46.52,0,46.52,0,-200.00
141.5,180,44.75,44.75,0,44.75,0,-200.00
141,180,42.81,42.81,0,42.81,0,-200.00
140.5,180,42.16,42.16,0,42.16,0,-200.00
140,180,43.41,43.41,0,43.41,0,-200.00
139.5,180,45.11,45.11,0,45.11,0,-200.00
139,180,46.42,46.42,0,46.42,0,-200.00
138.5,180,47.18,47.18,0,47.18,0,-200.00
138,180,47.41,47.41,0,47.41,0,-200.00
137.5,180,47.03,47.03,0,47.03,0,-200.00
137,180,45.87,45.87,0,45.87,0,-200.00
136.5,180,43.43,43.43,0,43.43,0,-200.00
136,180,38.41,38.41,0,38.41,0,-200.00
135.5,180,29.41,29.41,0,29.41,0,-200.00
135,180,39.47,39.47,0,39.47,0,-200.00
134.5,180,44.71,44.71,0,44.71,0,-200.00
134,180,47.44,47.44,0,47.44,0,-200.00
133.5,180,48.81,48.81,0,48.81,0,-200.00
133,180,49.21,49.21,0,49.21,0,-200.00
132.5,180,48.77,48.77,0,48.77,0,-200.00
132,180,47.50,47.50,0,47.50,0,-200.00
131.5,180,45.19,45.19,0,45.19,0,-200.00
131,180,41.25,41.25,0,41.25,0,-200.00
130.5,180,33.18,33.18,0,33.18,0,-200.00
130,180,30.04,30.04,0,30.04,0,-200.00
129.5,180,39.27,39.27,0,39.27,0,-200.00
129,180,42.98,42.98,0,42.98,0,-200.00
128.5,180,44.66,44.66,0,44.66,0,-200.00
128,180,45.03,45.03,0,45.03,0,-200.00
127.5,180,44.19,44.19,0,44.19,0,-200.00
127,180,41.80,41.80,0,41.80,0,-200.00
126.5,180,36.45,36.45,0,36.45,0,-200.00
126,180,16.41,16.41,0,16.41,0,-200.00
125.5,180,37.43,37.43,0,37.43,0,-200.00
125,180,43.11,43.11,0,43.11,0,-200.00
124.5,180,46.10,46.10,0,46.10,0,-200.00
124,180,47.76,47.76,0,47.76,0,-200.00
123.5,180,48.49,48.49,0,48.49,0,-200.00
123,180,48.40,48.40,0,48.40,0,-200.00
122.5,180,47.40,47.40,0,47.40,0,-200.00
122,180,45.24,45.24,0,45.24,0,-200.00
121.5,180,41.49,41.49,0,41.49,0,-200.00
121,180,38.23,38.23,0,38.23,0,-200.00
120.5,180,42.04,42.04,0,42.04,0,-200.00
120,180,45.95,45.95,0,45.95,0,-200.00
119.5,180,48.26,48.26,0,48.26,0,-200.00
119,180,49.40,49.40,0,49.40,0,-200.00
118.5,180,49.58,49.58,0,49.58,0,-200.00
118,180,48.89,48.89,0,48.89,0,-200.00
117.5,180,47.23,47.23,0,47.23,0,-200.00
117,180,44.40,44.40,0,44.40,0,-200.00
116.5,180,40.30,40.30,0,40.30,0,-200.00
116,180,38.80,38.80,0,38.80,0,-200.00
115.5,180,42.40,42.40,0,42.40,0,-200.00
115,180,45.35,45.35,0,45.35,0,-200.00
114.5,180,46.97,46.97,0,46.97,0,-200.00
114,180,47.51,47.51,0,47.51,0,-200.00
113.5,180,47.04,47.04,0,47.04,0,-200.00
113,180,45.40,45.40,0,45.40,0,-200.00
112.5,180,42.13,42.13,0,42.13,0,-200.00
112,180,36.91,36.91,0,36.91,0,-200.00
111.5,180,38.36,38.36,0,38.36,0,-200.00
111,180,43.44,43.44,0,43.44,0,-200.00
110.5,180,46.42,46.42,0,46.42,0,-200.00
110,180,47.91,47.91,0,47.91,0,-200.00
109.5,180,48.29,48.29,0,48.29,0,-200.00
109,180,47.68,47.68,0,47.68,0,-200.00
108.5,180,46.08,46.08,0,46.08,0,-200.00
108,180,43.68,43.68,0,43.68,0,-200.00
107.5,180,42.29,42.29,0,42.29,0,-200.00
107,180,44.18,44.18,0,44.18,0,-200.00
106.5,180,46.82,46.82,0,46.82,0,-200.00
106,180,48.65,48.65,0,48.65,0,-200.00
105.5,180,49.56,49.56,0,49.56,0,-200.00
105,180,49.62,49.62,0,49.62,0,-200.00
104.5,180,48.86,48.86,0,48.86,0,-200.00
104,180,47.36,47.36,0,47.36,0,-200.00
103.5,180,45.58,45.58,0,45.58,0,-200.00
103,180,45.06,45.06,0,45.06,0,-200.00
102.5,180,46.50,46.50,0,46.50,0,-200.00
102,180,48.30,48.30,0,48.30,0,-200.00
101.5,180,49.49,49.49,0,49.49,0,-200.00
101,180,49.90,49.90,0,49.90,0,-200.00
100.5,180,49.55,49.55,0,49.55,0,-200.00
100,180,48.53,48.53,0,48.53,0,-200.00
