Theta [deg.],Phi   [deg.],Abs(RCS )[dB(nm^2)],Abs(Theta)[dB(nm^2)],Phase(Theta)[deg.],Abs(Phi  )[dB(nm^2)],Phase(Phi  )[deg.],Ax.Ratio[dB    ]
30,60,7.13E+01,6.50E+01,154.975,7.01E+01,329.7,2.82E+01
33,60,6.50E+01,5.99E+01,69.974,6.34E+01,253.921,3.00E+01
36,60,7.01E+01,6.36E+01,301.756,6.90E+01,121.895,4.00E+01
39,60,6.57E+01,5.93E+01,157.154,6.45E+01,326.18,2.19E+01
42,60,6.27E+01,5.71E+01,77.94,6.13E+01,264.969,2.52E+01
45,60,6.68E+01,5.97E+01,297.617,6.58E+01,114.63,3.37E+01
48,60,6.01E+01,5.41E+01,165.917,5.88E+01,326.519,1.66E+01
51,60,6.23E+01,5.57E+01,78.967,6.12E+01,264.803,2.75E+01
54,60,6.37E+01,5.59E+01,294.351,6.29E+01,104.592,2.39E+01
57,60,5.53E+01,5.09E+01,188.11,5.33E+01,355.909,1.98E+01
60,60,6.24E+01,5.44E+01,75.602,6.16E+01,255.497,4.00E+01
63,60,5.97E+01,5.18E+01,299.865,5.89E+01,97.758,1.69E+01
66,60,5.78E+01,5.11E+01,206.361,5.68E+01,33.988,2.53E+01
69,60,6.14E+01,5.20E+01,75.869,6.08E+01,244.369,2.38E+01
72,60,5.44E+01,4.90E+01,326.344,5.29E+01,132.623,1.92E+01
75,60,6.05E+01,5.05E+01,214.049,6.00E+01,33.418,4.00E+01
78,60,5.66E+01,4.84E+01,94.54,5.58E+01,247.907,1.56E+01
81,60,5.82E+01,4.82E+01,348.283,5.77E+01,180.078,2.42E+01
84,60,5.78E+01,4.70E+01,231.371,5.74E+01,30.232,1.99E+01
87,60,5.51E+01,4.58E+01,119.701,5.45E+01,324.813,1.71E+01
90,60,5.73E+01,4.41E+01,8.383,5.71E+01,179.397,2.95E+01
93,60,5.12E+01,4.35E+01,249.347,5.03E+01,113.599,1.09E+01
96,60,5.51E+01,3.98E+01,135.079,5.50E+01,330.559,2.69E+01
99,60,4.59E+01,4.18E+01,15.316,4.37E+01,288.019,2.03E+00
102,60,5.05E+01,3.69E+01,242.856,5.03E+01,117.742,1.52E+01
105,60,4.62E+01,4.15E+01,145.694,4.44E+01,164.303,1.62E+01
108,60,4.40E+01,3.63E+01,4.029,4.32E+01,215.438,1.38E+01
111,60,5.01E+01,4.11E+01,289.257,4.95E+01,346.397,1.04E+01
114,60,4.97E+01,2.98E+01,126.097,4.97E+01,319.191,3.29E+01
117,60,4.95E+01,3.77E+01,69.63,4.92E+01,157.191,1.15E+01
120,60,5.23E+01,3.38E+01,174.995,5.22E+01,114.83,1.98E+01
123,60,4.04E+01,3.76E+01,158.259,3.72E+01,340.601,3.38E+01
126,60,4.84E+01,3.64E+01,332.828,4.81E+01,264.326,1.25E+01
129,60,4.65E+01,4.28E+01,295.656,4.41E+01,311.008,1.75E+01
132,60,4.75E+01,2.96E+01,248.995,4.75E+01,325.102,1.82E+01
135,60,4.22E+01,3.76E+01,78.265,4.04E+01,163.707,2.94E+00
138,60,5.11E+01,3.63E+01,94.031,5.10E+01,110.425,2.59E+01
141,60,4.75E+01,4.08E+01,125.629,4.64E+01,76.272,9.11E+00
144,60,4.16E+01,3.74E+01,109.058,3.95E+01,179.936,3.63E+00
147,60,4.11E+01,3.20E+01,281.507,4.06E+01,165.651,9.71E+00
150,60,4.55E+01,3.84E+01,259.12,4.45E+01,315.247,8.47E+00
153,60,4.98E+01,3.92E+01,274.203,4.94E+01,273.937,4.00E+01
156,60,4.86E+01,4.29E+01,283.515,4.73E+01,247.008,1.09E+01
159,60,4.58E+01,4.01E+01,267.899,4.45E+01,302.607,1.14E+01
162,60,4.48E+01,3.48E+01,247.86,4.44E+01,286.213,1.43E+01
165,60,4.47E+01,3.97E+01,294.002,4.30E+01,237.799,6.52E+00
168,60,4.74E+01,4.13E+01,339.972,4.62E+01,345.529,2.76E+01
171,60,5.22E+01,4.56E+01,60.916,5.11E+01,37.526,1.55E+01
174,60,5.44E+01,4.70E+01,100.068,5.35E+01,109.899,2.36E+01
177,60,5.16E+01,4.27E+01,188.623,5.10E+01,171.729,2.01E+01
180,60,5.30E+01,4.69E+01,236.999,5.17E+01,236.999,4.00E+01
0,63,1.09E+02,1.02E+02,93.258,1.08E+02,273.258,4.00E+01
3,63,1.04E+02,9.69E+01,81.901,1.03E+02,262.147,4.00E+01
6,63,9.38E+01,8.70E+01,327.521,9.28E+01,146.719,4.00E+01
9,63,9.07E+01,8.39E+01,262.447,8.97E+01,83.226,4.00E+01
12,63,8.80E+01,8.11E+01,132.766,8.70E+01,312.401,4.00E+01
15,63,7.94E+01,7.30E+01,30.604,7.83E+01,209.544,4.00E+01
18,63,8.11E+01,7.42E+01,292.046,8.01E+01,113.469,4.00E+01
21,63,7.82E+01,7.13E+01,150.344,7.72E+01,328.312,3.69E+01
24,63,7.05E+01,6.44E+01,55.556,6.92E+01,235.846,4.00E+01
27,63,7.46E+01,6.76E+01,301.386,7.37E+01,122.76,4.00E+01
30,63,7.13E+01,6.42E+01,154.988,7.04E+01,329.731,2.88E+01
33,63,6.50E+01,5.91E+01,69.998,6.37E+01,253.877,3.06E+01
36,63,7.01E+01,6.27E+01,301.791,6.93E+01,121.94,4.00E+01
39,63,6.57E+01,5.84E+01,157.225,6.48E+01,326.256,2.25E+01
42,63,6.27E+01,5.62E+01,78.001,6.15E+01,265.089,2.57E+01
45,63,6.68E+01,5.88E+01,297.885,6.60E+01,114.909,3.44E+01
48,63,6.00E+01,5.32E+01,166.038,5.90E+01,326.379,1.71E+01
51,63,6.23E+01,5.48E+01,78.998,6.14E+01,264.824,2.82E+01
54,63,6.37E+01,5.51E+01,293.977,6.31E+01,104.285,2.47E+01
57,63,5.51E+01,5.01E+01,187.996,5.35E+01,355.63,2.00E+01
60,63,6.24E+01,5.35E+01,75.322,6.18E+01,255.223,4.00E+01
63,63,5.98E+01,5.10E+01,299.889,5.92E+01,97.739,1.77E+01
66,63,5.78E+01,5.02E+01,206.303,5.70E+01,34.071,2.58E+01
69,63,6.15E+01,5.12E+01,75.692,6.11E+01,244.15,2.47E+01
72,63,5.43E+01,4.81E+01,326.048,5.31E+01,132.216,1.97E+01
75,63,6.06E+01,4.96E+01,213.772,6.02E+01,33.255,4.00E+01
78,63,5.67E+01,4.76E+01,94.079,5.61E+01,247.586,1.65E+01
81,63,5.83E+01,4.73E+01,347.897,5.79E+01,179.909,2.49E+01
84,63,5.80E+01,4.62E+01,230.864,5.77E+01,29.973,2.10E+01
87,63,5.52E+01,4.50E+01,119.389,5.48E+01,324.58,1.79E+01
90,63,5.75E+01,4.33E+01,7.889,5.73E+01,179.321,3.09E+01
93,63,5.12E+01,4.27E+01,249.299,5.05E+01,113.327,1.17E+01
96,63,5.53E+01,3.91E+01,134.754,5.52E+01,330.455,2.77E+01
99,63,4.57E+01,4.10E+01,15.471,4.39E+01,287.84,3.01E+00
102,63,5.07E+01,3.62E+01,243.213,5.05E+01,117.562,1.63E+01
105,63,4.61E+01,4.07E+01,145.801,4.47E+01,164.453,1.66E+01
108,63,4.41E+01,3.55E+01,4.104,4.34E+01,215.332,1.47E+01
111,63,5.03E+01,4.03E+01,289.343,4.98E+01,346.386,1.14E+01
114,63,5.00E+01,2.90E+01,126.468,5.00E+01,319.141,3.42E+01
117,63,4.96E+01,3.68E+01,69.894,4.94E+01,157.135,1.26E+01
120,63,5.25E+01,3.29E+01,175.185,5.24E+01,114.412,2.08E+01
123,63,4.03E+01,3.67E+01,157.783,3.78E+01,341.734,2.93E+01
126,63,4.85E+01,3.55E+01,333.497,4.83E+01,264.625,1.34E+01
129,63,4.63E+01,4.19E+01,295.464,4.43E+01,310.835,1.77E+01
132,63,4.78E+01,2.88E+01,249.147,4.77E+01,324.741,1.91E+01
135,63,4.21E+01,3.67E+01,77.769,4.06E+01,163.482,3.99E+00
138,63,5.13E+01,3.55E+01,94.161,5.12E+01,110.244,2.71E+01
141,63,4.74E+01,4.00E+01,125.793,4.66E+01,76.127,9.84E+00
144,63,4.15E+01,3.66E+01,108.917,3.98E+01,180.177,4.37E+00
147,63,4.13E+01,3.12E+01,281.013,4.08E+01,165.533,1.07E+01
150,63,4.55E+01,3.76E+01,258.336,4.47E+01,314.631,9.28E+00
153,63,5.00E+01,3.84E+01,274.402,4.97E+01,273.839,4.00E+01
156,63,4.86E+01,4.20E+01,283.658,4.75E+01,247.062,1.15E+01
159,63,4.58E+01,3.93E+01,267.516,4.47E+01,302.663,1.19E+01
162,63,4.50E+01,3.41E+01,245.249,4.46E+01,284.708,1.49E+01
165,63,4.46E+01,3.88E+01,293.525,4.33E+01,237.129,7.25E+00
168,63,4.75E+01,4.04E+01,339.547,4.65E+01,345.307,2.79E+01
171,63,5.22E+01,4.47E+01,61.134,5.14E+01,37.595,1.61E+01
174,63,5.45E+01,4.62E+01,100.709,5.38E+01,110.371,2.45E+01
177,63,5.18E+01,4.19E+01,188.566,5.13E+01,171.733,2.10E+01
180,63,5.30E+01,4.61E+01,236.999,5.20E+01,236.999,4.00E+01
0,66,1.09E+02,1.01E+02,93.258,1.08E+02,273.258,4.00E+01
3,66,1.04E+02,9.59E+01,81.885,1.03E+02,262.131,4.00E+01
6,66,9.39E+01,8.61E+01,327.698,9.31E+01,146.9,4.00E+01
9,66,9.07E+01,8.30E+01,262.606,8.99E+01,83.388,4.00E+01
12,66,8.80E+01,8.01E+01,132.952,8.72E+01,312.586,4.00E+01
15,66,7.94E+01,7.20E+01,30.759,7.85E+01,209.709,4.00E+01
18,66,8.11E+01,7.33E+01,291.922,8.03E+01,113.347,4.00E+01
21,66,7.82E+01,7.03E+01,150.277,7.74E+01,328.249,3.77E+01
24,66,7.04E+01,6.34E+01,55.501,6.95E+01,235.788,4.00E+01
27,66,7.46E+01,6.66E+01,301.374,7.39E+01,122.746,4.00E+01
30,66,7.13E+01,6.33E+01,155.058,7.06E+01,329.822,2.96E+01
33,66,6.49E+01,5.81E+01,70.091,6.39E+01,253.921,3.13E+01
36,66,7.02E+01,6.18E+01,301.751,6.95E+01,121.963,4.00E+01
39,66,6.57E+01,5.74E+01,157.389,6.50E+01,326.405,2.33E+01
42,66,6.26E+01,5.53E+01,78.152,6.17E+01,265.354,2.63E+01
45,66,6.68E+01,5.78E+01,298.013,6.62E+01,115.07,3.53E+01
48,66,5.99E+01,5.21E+01,165.402,5.91E+01,325.283,1.77E+01
51,66,6.22E+01,5.38E+01,78.581,6.16E+01,264.312,2.91E+01
54,66,6.38E+01,5.41E+01,293.678,6.33E+01,104.08,2.57E+01
57,66,5.50E+01,4.91E+01,187.717,5.37E+01,355.246,2.04E+01
60,66,6.25E+01,5.26E+01,75.078,6.20E+01,255.065,4.00E+01
63,66,5.99E+01,5.01E+01,299.827,5.94E+01,97.586,1.86E+01
66,66,5.78E+01,4.92E+01,206.155,5.72E+01,33.941,2.66E+01
69,66,6.16E+01,5.02E+01,75.737,6.13E+01,244.003,2.55E+01
72,66,5.43E+01,4.72E+01,325.873,5.33E+01,131.905,2.03E+01
75,66,6.07E+01,4.86E+01,213.757,6.04E+01,33.208,4.00E+01
78,66,5.68E+01,4.66E+01,93.747,5.63E+01,247.179,1.75E+01
81,66,5.84E+01,4.63E+01,347.576,5.81E+01,179.695,2.59E+01
84,66,5.81E+01,4.52E+01,230.345,5.79E+01,29.724,2.21E+01
87,66,5.53E+01,4.41E+01,118.831,5.49E+01,324.295,1.88E+01
90,66,5.77E+01,4.24E+01,7.131,5.76E+01,178.926,3.24E+01
93,66,5.13E+01,4.18E+01,248.743,5.08E+01,112.866,1.27E+01
96,66,5.56E+01,3.82E+01,133.875,5.55E+01,330.191,2.85E+01
99,66,4.55E+01,4.01E+01,15.234,4.41E+01,287.309,4.00E+00
102,66,5.09E+01,3.53E+01,242.931,5.08E+01,117.361,1.73E+01
105,66,4.61E+01,3.98E+01,145.916,4.49E+01,164.667,1.71E+01
108,66,4.42E+01,3.45E+01,4.346,4.37E+01,214.784,1.59E+01
111,66,5.04E+01,3.93E+01,289.423,5.00E+01,346.455,1.25E+01
114,66,5.02E+01,2.82E+01,125.742,5.02E+01,319.076,3.47E+01
117,66,4.98E+01,3.59E+01,70.147,4.97E+01,157.114,1.38E+01
120,66,5.27E+01,3.18E+01,174.487,5.27E+01,114.278,2.21E+01
123,66,4.00E+01,3.57E+01,157.024,3.80E+01,342.85,2.62E+01
126,66,4.87E+01,3.45E+01,333.814,4.85E+01,264.235,1.46E+01
129,66,4.61E+01,4.10E+01,295.372,4.45E+01,310.332,1.84E+01
132,66,4.80E+01,2.80E+01,249.434,4.79E+01,324.312,2.03E+01
135,66,4.21E+01,3.57E+01,77.952,4.09E+01,163.417,5.20E+00
138,66,5.15E+01,3.45E+01,94.309,5.14E+01,110.168,2.83E+01
141,66,4.74E+01,3.90E+01,126.012,4.68E+01,76.072,1.07E+01
144,66,4.14E+01,3.56E+01,109.454,4.01E+01,180.38,5.50E+00
147,66,4.14E+01,3.02E+01,280.851,4.10E+01,165.294,1.18E+01
150,66,4.55E+01,3.67E+01,257.726,4.49E+01,314.126,1.03E+01
153,66,5.02E+01,3.74E+01,274.446,4.99E+01,273.658,4.00E+01
156,66,4.85E+01,4.11E+01,284.002,4.77E+01,247.278,1.22E+01
159,66,4.59E+01,3.83E+01,268.117,4.50E+01,303.489,1.27E+01
162,66,4.51E+01,3.33E+01,243.598,4.48E+01,283.664,1.57E+01
165,66,4.46E+01,3.78E+01,292.859,4.36E+01,236.242,8.17E+00
168,66,4.74E+01,3.95E+01,338.968,4.67E+01,345.046,2.82E+01
171,66,5.22E+01,4.37E+01,61.34,5.16E+01,37.669,1.69E+01
174,66,5.46E+01,4.52E+01,101.38,5.40E+01,110.863,2.55E+01
177,66,5.19E+01,4.10E+01,188.51,5.15E+01,171.742,2.20E+01
180,66,5.30E+01,4.52E+01,236.999,5.22E+01,236.999,4.00E+01
0,69,1.09E+02,1.00E+02,93.258,1.08E+02,273.258,4.00E+01
3,69,1.04E+02,9.48E+01,81.87,1.03E+02,262.115,4.00E+01
6,69,9.39E+01,8.50E+01,327.874,9.33E+01,147.08,4.00E+01
9,69,9.07E+01,8.19E+01,262.701,9.01E+01,83.484,4.00E+01
12,69,8.80E+01,7.91E+01,133.246,8.74E+01,312.878,4.00E+01
15,69,7.93E+01,7.08E+01,30.899,7.87E+01,209.863,4.00E+01
18,69,8.11E+01,7.22E+01,291.974,8.05E+01,113.394,4.00E+01
21,69,7.82E+01,6.92E+01,150.235,7.76E+01,328.214,3.87E+01
24,69,7.04E+01,6.23E+01,55.485,6.96E+01,235.756,4.00E+01
27,69,7.47E+01,6.55E+01,301.429,7.41E+01,122.792,4.00E+01
30,69,7.13E+01,6.22E+01,155.163,7.08E+01,329.947,3.06E+01
33,69,6.48E+01,5.70E+01,70.296,6.40E+01,254.175,3.20E+01
36,69,7.02E+01,6.07E+01,301.765,6.96E+01,122.02,4.00E+01
39,69,6.56E+01,5.63E+01,157.391,6.51E+01,326.395,2.43E+01
42,69,6.25E+01,5.41E+01,78.273,6.18E+01,265.607,2.69E+01
45,69,6.68E+01,5.67E+01,297.674,6.63E+01,114.699,3.63E+01
48,69,6.00E+01,5.10E+01,164.569,5.94E+01,324.32,1.86E+01
51,69,6.23E+01,5.27E+01,78.151,6.18E+01,263.833,3.02E+01
54,69,6.39E+01,5.30E+01,293.63,6.35E+01,103.948,2.67E+01
57,69,5.49E+01,4.80E+01,187.343,5.40E+01,354.714,2.11E+01
60,69,6.26E+01,5.15E+01,75.007,6.22E+01,255.102,4.00E+01
63,69,5.99E+01,4.90E+01,299.567,5.96E+01,97.232,1.96E+01
66,69,5.79E+01,4.82E+01,205.825,5.74E+01,33.5,2.77E+01
69,69,6.17E+01,4.91E+01,75.722,6.15E+01,244.009,2.67E+01
72,69,5.42E+01,4.61E+01,325.758,5.35E+01,131.594,2.10E+01
75,69,6.08E+01,4.75E+01,213.751,6.06E+01,33.094,4.00E+01
78,69,5.68E+01,4.55E+01,93.769,5.65E+01,247.062,1.85E+01
81,69,5.85E+01,4.52E+01,347.544,5.83E+01,179.545,2.71E+01
84,69,5.82E+01,4.41E+01,230.266,5.81E+01,29.519,2.33E+01
87,69,5.53E+01,4.29E+01,118.545,5.51E+01,323.97,1.99E+01
90,69,5.78E+01,4.12E+01,6.767,5.77E+01,178.627,3.37E+01
93,69,5.13E+01,4.07E+01,248.078,5.09E+01,112.393,1.38E+01
96,69,5.57E+01,3.71E+01,133.016,5.57E+01,329.767,2.95E+01
99,69,4.53E+01,3.90E+01,14.405,4.42E+01,286.822,5.18E+00
102,69,5.11E+01,3.43E+01,242.088,5.10E+01,116.968,1.85E+01
105,69,4.60E+01,3.88E+01,145.44,4.51E+01,164.932,1.75E+01
108,69,4.43E+01,3.35E+01,4.208,4.40E+01,214.679,1.69E+01
111,69,5.05E+01,3.83E+01,289.311,5.02E+01,346.564,1.36E+01
114,69,5.04E+01,2.72E+01,125.711,5.03E+01,318.995,3.60E+01
117,69,5.00E+01,3.49E+01,69.69,4.99E+01,157.058,1.51E+01
120,69,5.29E+01,3.07E+01,174.753,5.29E+01,114.475,2.34E+01
123,69,3.96E+01,3.47E+01,156.985,3.78E+01,341.643,2.84E+01
126,69,4.89E+01,3.33E+01,333.12,4.87E+01,263.384,1.60E+01
129,69,4.60E+01,3.99E+01,295.247,4.48E+01,309.811,1.92E+01
132,69,4.82E+01,2.67E+01,250.27,4.82E+01,324.523,2.18E+01
135,69,4.21E+01,3.48E+01,78.447,4.12E+01,162.528,6.49E+00
138,69,5.17E+01,3.34E+01,94.543,5.16E+01,110.229,2.97E+01
141,69,4.74E+01,3.78E+01,125.524,4.69E+01,75.58,1.19E+01
144,69,4.14E+01,3.44E+01,109.775,4.04E+01,180.155,6.77E+00
147,69,4.15E+01,2.91E+01,280.406,4.12E+01,164.986,1.31E+01
150,69,4.56E+01,3.55E+01,257.735,4.52E+01,314.065,1.15E+01
153,69,5.03E+01,3.63E+01,274.755,5.01E+01,273.63,4.00E+01
156,69,4.85E+01,4.01E+01,284.221,4.78E+01,247.406,1.31E+01
159,69,4.60E+01,3.72E+01,269.438,4.53E+01,304.729,1.38E+01
162,69,4.52E+01,3.22E+01,243.765,4.50E+01,283.629,1.70E+01
165,69,4.46E+01,3.67E+01,292.454,4.38E+01,235.537,9.22E+00
168,69,4.74E+01,3.83E+01,338.243,4.68E+01,344.748,2.86E+01
171,69,5.23E+01,4.26E+01,61.518,5.18E+01,37.742,1.79E+01
174,69,5.46E+01,4.42E+01,102.049,5.42E+01,111.351,2.67E+01
177,69,5.20E+01,3.99E+01,188.457,5.17E+01,171.754,2.31E+01
180,69,5.30E+01,4.41E+01,236.999,5.24E+01,236.999,4.00E+01
0,72,1.09E+02,9.88E+01,93.258,1.09E+02,273.258,4.00E+01
3,72,1.04E+02,9.36E+01,81.854,1.03E+02,262.1,4.00E+01
6,72,9.39E+01,8.38E+01,328.041,9.35E+01,147.251,4.00E+01
9,72,9.07E+01,8.06E+01,262.73,9.03E+01,83.516,4.00E+01
12,72,8.80E+01,7.78E+01,133.612,8.76E+01,313.242,4.00E+01
15,72,7.93E+01,6.96E+01,30.953,7.88E+01,209.932,4.00E+01
18,72,8.11E+01,7.09E+01,292.204,8.06E+01,113.612,4.00E+01
21,72,7.82E+01,6.79E+01,150.284,7.77E+01,328.272,3.98E+01
24,72,7.03E+01,6.10E+01,55.527,6.97E+01,235.784,4.00E+01
27,72,7.47E+01,6.42E+01,301.57,7.42E+01,122.925,4.00E+01
30,72,7.13E+01,6.09E+01,155.261,7.09E+01,330.055,3.17E+01
33,72,6.47E+01,5.56E+01,70.571,6.41E+01,254.606,3.27E+01
36,72,7.01E+01,5.93E+01,301.835,6.98E+01,122.094,4.00E+01
39,72,6.56E+01,5.49E+01,156.965,6.52E+01,325.916,2.54E+01
42,72,6.23E+01,5.27E+01,77.961,6.18E+01,265.346,2.79E+01
45,72,6.68E+01,5.54E+01,297.023,6.65E+01,113.951,3.72E+01
48,72,6.01E+01,4.99E+01,164.376,5.97E+01,324.457,1.99E+01
51,72,6.23E+01,5.14E+01,77.983,6.20E+01,263.867,3.10E+01
54,72,6.40E+01,5.18E+01,293.589,6.37E+01,103.823,2.79E+01
57,72,5.49E+01,4.67E+01,187.1,5.41E+01,354.349,2.19E+01
60,72,6.27E+01,5.02E+01,74.987,6.24E+01,255.016,4.00E+01
63,72,6.00E+01,4.77E+01,299.394,5.97E+01,97.21,2.10E+01
66,72,5.79E+01,4.69E+01,205.669,5.75E+01,33.256,2.90E+01
69,72,6.18E+01,4.79E+01,75.453,6.16E+01,243.898,2.81E+01
72,72,5.42E+01,4.48E+01,325.623,5.37E+01,131.585,2.22E+01
75,72,6.10E+01,4.63E+01,213.569,6.08E+01,32.899,4.00E+01
78,72,5.69E+01,4.42E+01,93.842,5.67E+01,247.071,1.98E+01
81,72,5.86E+01,4.39E+01,347.583,5.85E+01,179.417,2.86E+01
84,72,5.84E+01,4.28E+01,230.458,5.82E+01,29.442,2.46E+01
87,72,5.54E+01,4.16E+01,118.66,5.52E+01,323.798,2.14E+01
90,72,5.80E+01,3.99E+01,6.957,5.79E+01,178.643,3.49E+01
93,72,5.13E+01,3.93E+01,247.858,5.10E+01,112.079,1.51E+01
96,72,5.59E+01,3.57E+01,132.817,5.58E+01,329.55,3.10E+01
99,72,4.51E+01,3.77E+01,13.602,4.43E+01,286.199,6.59E+00
102,72,5.12E+01,3.30E+01,241.439,5.11E+01,116.355,1.99E+01
105,72,4.58E+01,3.75E+01,144.586,4.51E+01,165.128,1.80E+01
108,72,4.45E+01,3.24E+01,3.622,4.42E+01,214.499,1.80E+01
111,72,5.06E+01,3.70E+01,288.913,5.04E+01,346.697,1.50E+01
114,72,5.05E+01,2.60E+01,126.619,5.05E+01,319.097,3.79E+01
117,72,5.01E+01,3.35E+01,69.2,5.00E+01,156.733,1.65E+01
120,72,5.30E+01,2.94E+01,176.188,5.30E+01,114.242,2.47E+01
123,72,3.93E+01,3.34E+01,157.597,3.80E+01,339.828,3.54E+01
126,72,4.91E+01,3.21E+01,332.644,4.90E+01,263.259,1.74E+01
129,72,4.59E+01,3.87E+01,295.623,4.50E+01,310.707,1.97E+01
132,72,4.84E+01,2.50E+01,250.392,4.83E+01,325.348,2.36E+01
135,72,4.21E+01,3.37E+01,78.552,4.14E+01,161.272,7.85E+00
138,72,5.18E+01,3.21E+01,94.505,5.18E+01,110.338,3.10E+01
141,72,4.75E+01,3.64E+01,124.777,4.71E+01,74.901,1.34E+01
144,72,4.12E+01,3.32E+01,109.517,4.05E+01,179.487,8.07E+00
147,72,4.17E+01,2.78E+01,278.765,4.15E+01,164.959,1.46E+01
150,72,4.57E+01,3.42E+01,257.818,4.53E+01,314.09,1.30E+01
153,72,5.04E+01,3.50E+01,275.345,5.03E+01,273.812,4.00E+01
156,72,4.85E+01,3.88E+01,284.025,4.80E+01,247.227,1.43E+01
159,72,4.60E+01,3.59E+01,270.51,4.56E+01,305.53,1.51E+01
162,72,4.54E+01,3.07E+01,245.887,4.52E+01,284.635,1.88E+01
165,72,4.45E+01,3.54E+01,292.72,4.39E+01,235.332,1.04E+01
168,72,4.74E+01,3.70E+01,337.408,4.69E+01,344.423,2.91E+01
171,72,5.23E+01,4.13E+01,61.664,5.19E+01,37.806,1.91E+01
174,72,5.47E+01,4.29E+01,102.686,5.44E+01,111.815,2.81E+01
177,72,5.21E+01,3.87E+01,188.408,5.19E+01,171.768,2.45E+01
180,72,5.30E+01,4.28E+01,236.999,5.25E+01,236.999,4.00E+01
0,75,1.09E+02,9.72E+01,93.258,1.09E+02,273.258,4.00E+01
3,75,1.04E+02,9.20E+01,81.84,1.03E+02,262.085,4.00E+01
6,75,9.39E+01,8.23E+01,328.192,9.36E+01,147.405,4.00E+01
9,75,9.07E+01,7.91E+01,262.702,9.04E+01,83.488,4.00E+01
12,75,8.81E+01,7.63E+01,134.003,8.78E+01,313.632,4.00E+01
15,75,7.94E+01,6.81E+01,30.884,7.90E+01,209.876,4.00E+01
18,75,8.11E+01,6.93E+01,292.545,8.08E+01,113.935,4.00E+01
21,75,7.81E+01,6.63E+01,150.461,7.79E+01,328.461,4.00E+01
24,75,7.02E+01,5.94E+01,55.69,6.98E+01,235.947,4.00E+01
27,75,7.46E+01,6.27E+01,301.712,7.44E+01,123.08,4.00E+01
30,75,7.13E+01,5.93E+01,155.241,7.10E+01,330.031,3.32E+01
33,75,6.46E+01,5.40E+01,70.712,6.42E+01,254.92,3.37E+01
36,75,7.01E+01,5.77E+01,301.739,6.98E+01,122.023,4.00E+01
39,75,6.56E+01,5.34E+01,156.119,6.53E+01,324.934,2.67E+01
42,75,6.22E+01,5.11E+01,77.067,6.19E+01,264.209,2.96E+01
45,75,6.69E+01,5.39E+01,296.608,6.67E+01,113.566,3.88E+01
48,75,6.02E+01,4.84E+01,164.786,5.99E+01,325.183,2.15E+01
51,75,6.23E+01,4.99E+01,77.963,6.21E+01,264.036,3.22E+01
54,75,6.40E+01,5.03E+01,293.509,6.39E+01,103.759,2.94E+01
57,75,5.48E+01,4.52E+01,186.917,5.43E+01,354.186,2.32E+01
60,75,6.27E+01,4.87E+01,74.916,6.26E+01,254.645,4.00E+01
63,75,6.01E+01,4.62E+01,299.388,5.99E+01,97.518,2.26E+01
66,75,5.79E+01,4.53E+01,205.736,5.76E+01,33.32,3.04E+01
69,75,6.19E+01,4.63E+01,75.197,6.18E+01,243.738,2.97E+01
72,75,5.42E+01,4.33E+01,325.436,5.38E+01,131.314,2.35E+01
75,75,6.10E+01,4.47E+01,213.29,6.09E+01,32.792,4.00E+01
78,75,5.70E+01,4.27E+01,93.65,5.68E+01,246.937,2.14E+01
81,75,5.87E+01,4.24E+01,347.37,5.86E+01,179.218,3.01E+01
84,75,5.85E+01,4.13E+01,230.449,5.84E+01,29.527,2.62E+01
87,75,5.55E+01,4.01E+01,118.743,5.54E+01,323.72,2.30E+01
90,75,5.81E+01,3.84E+01,7.264,5.80E+01,178.67,3.63E+01
93,75,5.14E+01,3.78E+01,248.235,5.12E+01,112.238,1.68E+01
96,75,5.60E+01,3.41E+01,133.418,5.59E+01,329.627,3.30E+01
99,75,4.49E+01,3.60E+01,13.617,4.43E+01,286.413,8.28E+00
102,75,5.13E+01,3.14E+01,240.909,5.12E+01,116.209,2.16E+01
105,75,4.58E+01,3.59E+01,143.977,4.53E+01,165.431,1.90E+01
108,75,4.45E+01,3.09E+01,2.871,4.43E+01,214.082,1.95E+01
111,75,5.07E+01,3.54E+01,288.367,5.06E+01,346.628,1.66E+01
114,75,5.07E+01,2.47E+01,126.582,5.07E+01,318.977,3.93E+01
117,75,5.02E+01,3.19E+01,69.436,5.01E+01,156.411,1.82E+01
120,75,5.32E+01,2.80E+01,176.358,5.32E+01,113.559,2.62E+01
123,75,3.94E+01,3.19E+01,157.261,3.86E+01,341.236,3.16E+01
126,75,4.91E+01,3.08E+01,333.09,4.90E+01,263.804,1.89E+01
129,75,4.58E+01,3.72E+01,296.096,4.52E+01,312.316,2.02E+01
132,75,4.84E+01,2.34E+01,247.548,4.84E+01,325.715,2.52E+01
135,75,4.22E+01,3.21E+01,79.162,4.17E+01,161.941,9.68E+00
138,75,5.19E+01,3.04E+01,93.909,5.19E+01,110.38,3.24E+01
141,75,4.75E+01,3.48E+01,124.497,4.73E+01,74.527,1.50E+01
144,75,4.12E+01,3.17E+01,109.351,4.06E+01,178.731,9.61E+00
147,75,4.18E+01,2.63E+01,276.93,4.17E+01,165.447,1.61E+01
150,75,4.57E+01,3.27E+01,257.753,4.55E+01,313.943,1.46E+01
153,75,5.05E+01,3.34E+01,275.749,5.04E+01,274.035,4.00E+01
