Theta [deg.],Phi   [deg.],Abs(RCS )[dB(m^2)],Abs(Theta)[dB(m^2)],Phase(Theta)[deg.],Abs(Phi  )[dB(m^2)],Phase(Phi  )[deg.],Ax.Ratio[dB    ]
36,9,-1.08E+02,-1.08E+02,136.506,-1.23E+02,313.555,4.00E+01
39,9,-1.12E+02,-1.12E+02,354.066,-1.29E+02,161.981,3.06E+01
42,9,-1.12E+02,-1.13E+02,237.805,-1.30E+02,55.649,4.00E+01
45,9,-1.11E+02,-1.11E+02,98.562,-1.27E+02,284.495,3.59E+01
48,9,-1.13E+02,-1.13E+02,310.081,-1.29E+02,122.248,3.29E+01
51,9,-1.16E+02,-1.16E+02,203.091,-1.33E+02,1.573,2.60E+01
54,9,-1.15E+02,-1.15E+02,82.641,-1.31E+02,271.468,3.28E+01
57,9,-1.17E+02,-1.18E+02,305.574,-1.32E+02,114.395,2.90E+01
60,9,-1.17E+02,-1.17E+02,220.447,-1.36E+02,20.723,2.84E+01
63,9,-1.18E+02,-1.18E+02,95.108,-1.31E+02,278.391,3.86E+01
66,9,-1.21E+02,-1.21E+02,19.364,-1.41E+02,180.796,2.98E+01
69,9,-1.19E+02,-1.19E+02,247.315,-1.35E+02,68.788,4.00E+01
72,9,-1.20E+02,-1.20E+02,191.409,-1.38E+02,331.219,2.16E+01
75,9,-1.20E+02,-1.21E+02,73.947,-1.33E+02,255.151,4.00E+01
78,9,-1.18E+02,-1.19E+02,27.659,-1.37E+02,203.165,4.00E+01
81,9,-1.25E+02,-1.25E+02,321.09,-1.38E+02,90.977,1.52E+01
84,9,-1.23E+02,-1.23E+02,231.206,-1.35E+02,49.851,4.00E+01
87,9,-1.25E+02,-1.25E+02,199.064,-1.40E+02,30.296,2.95E+01
90,9,-1.34E+02,-1.34E+02,96.333,-1.59E+02,182.857,2.48E+01
93,9,-1.29E+02,-1.29E+02,48.213,-1.47E+02,187.613,2.21E+01
96,9,-1.32E+02,-1.32E+02,105.355,-1.49E+02,293.486,3.40E+01
99,9,-1.23E+02,-1.23E+02,151.321,-1.38E+02,308.996,2.28E+01
102,9,-1.21E+02,-1.21E+02,156.761,-1.35E+02,304.106,1.99E+01
105,9,-1.21E+02,-1.22E+02,175.987,-1.37E+02,316.779,1.94E+01
108,9,-1.19E+02,-1.19E+02,202.603,-1.35E+02,353.03,2.18E+01
111,9,-1.17E+02,-1.17E+02,195.814,-1.31E+02,352.485,2.26E+01
114,9,-1.17E+02,-1.18E+02,168.697,-1.32E+02,338.257,2.97E+01
117,9,-1.22E+02,-1.22E+02,128.019,-1.43E+02,358.365,2.33E+01
120,9,-1.30E+02,-1.31E+02,85.889,-1.35E+02,79.782,2.63E+01
123,9,-1.31E+02,-1.33E+02,160.665,-1.35E+02,59.152,2.71E+00
126,9,-1.33E+02,-1.33E+02,132.863,-1.50E+02,42.311,1.74E+01
129,9,-1.28E+02,-1.28E+02,302.076,-1.47E+02,210.653,1.85E+01
132,9,-1.22E+02,-1.22E+02,278.948,-1.39E+02,299.492,2.60E+01
135,9,-1.25E+02,-1.26E+02,299.282,-1.37E+02,292.391,3.02E+01
138,9,-1.27E+02,-1.27E+02,346.263,-1.55E+02,63.48,2.87E+01
141,9,-1.30E+02,-1.30E+02,76.144,-1.43E+02,62.088,2.56E+01
144,9,-1.29E+02,-1.29E+02,84.124,-1.44E+02,139.474,1.62E+01
147,9,-1.33E+02,-1.33E+02,226.372,-1.47E+02,192.058,1.90E+01
150,9,-1.31E+02,-1.31E+02,194.853,-1.44E+02,243.193,1.56E+01
153,9,-1.41E+02,-1.45E+02,175.578,-1.44E+02,160.229,1.74E+01
