Theta [deg.],Phi   [deg.],Abs(RCS )[dB(nm^2)],Abs(Theta)[dB(nm^2)],Phase(Theta)[deg.],Abs(Phi  )[dB(nm^2)],Phase(Phi  )[deg.],Ax.Ratio[dB    ]
30,12,7.30E+01,7.28E+01,93.356,5.97E+01,270.699,4.00E+01
33,12,6.95E+01,6.93E+01,286.756,5.62E+01,99.453,3.15E+01
36,12,6.48E+01,6.46E+01,129.674,5.06E+01,296.282,2.71E+01
39,12,6.18E+01,6.17E+01,353.972,4.55E+01,172.895,4.00E+01
42,12,6.37E+01,6.35E+01,208.469,4.96E+01,37.326,3.05E+01
45,12,6.52E+01,6.50E+01,45.113,5.23E+01,228.502,3.78E+01
48,12,6.48E+01,6.46E+01,233.796,5.25E+01,50.608,3.77E+01
51,12,6.30E+01,6.27E+01,63.595,5.08E+01,231.972,2.63E+01
54,12,5.95E+01,5.93E+01,263.199,4.63E+01,59.734,2.13E+01
57,12,5.73E+01,5.72E+01,125.11,4.01E+01,295.217,3.26E+01
60,12,5.91E+01,5.89E+01,338.102,4.57E+01,167.207,2.96E+01
63,12,6.04E+01,6.00E+01,174.277,4.90E+01,354.131,4.00E+01
66,12,5.96E+01,5.93E+01,7.893,4.89E+01,175.197,2.43E+01
69,12,5.74E+01,5.71E+01,210.648,4.54E+01,3.532,1.91E+01
72,12,5.61E+01,5.60E+01,66.69,4.04E+01,239.105,3.34E+01
75,12,5.70E+01,5.67E+01,277.572,4.58E+01,106.832,2.74E+01
78,12,5.71E+01,5.66E+01,119.387,4.80E+01,293.906,3.01E+01
81,12,5.56E+01,5.52E+01,324.625,4.55E+01,121.295,1.85E+01
84,12,5.42E+01,5.40E+01,175.722,3.94E+01,352.859,4.00E+01
87,12,5.35E+01,5.30E+01,23.468,4.41E+01,229.195,1.70E+01
90,12,5.22E+01,5.13E+01,231.388,4.50E+01,54.495,3.35E+01
93,12,5.06E+01,5.04E+01,80.431,3.79E+01,238.091,2.13E+01
96,12,5.01E+01,5.00E+01,275.114,3.40E+01,179.901,1.60E+01
99,12,4.78E+01,4.72E+01,107.934,3.82E+01,343.373,1.11E+01
102,12,4.65E+01,4.59E+01,333.492,3.78E+01,102.656,1.09E+01
105,12,4.91E+01,4.89E+01,173.815,3.54E+01,249.517,1.39E+01
108,12,4.65E+01,4.62E+01,351.359,3.43E+01,200.279,1.86E+01
111,12,4.29E+01,3.73E+01,229.912,4.15E+01,19.355,1.24E+01
114,12,4.65E+01,4.63E+01,69.399,3.28E+01,207.767,1.73E+01
117,12,4.75E+01,4.72E+01,227.726,3.64E+01,143.434,1.08E+01
120,12,4.11E+01,3.96E+01,122.218,3.58E+01,274.12,1.29E+01
123,12,4.87E+01,4.86E+01,332.332,3.31E+01,36.152,1.65E+01
126,12,4.21E+01,4.10E+01,112.816,3.54E+01,351.257,7.71E+00
129,12,4.07E+01,3.73E+01,87.291,3.81E+01,161.254,2.61E+00
132,12,4.82E+01,4.81E+01,186.393,2.91E+01,126.929,2.04E+01
135,12,3.73E+01,3.40E+01,3.4,3.47E+01,245.999,4.38E+00
138,12,4.75E+01,4.73E+01,303.636,3.37E+01,8.503,1.45E+01
141,12,4.38E+01,4.29E+01,21.372,3.67E+01,317.008,7.61E+00
144,12,4.10E+01,4.04E+01,346.176,3.21E+01,104.862,9.82E+00
147,12,4.74E+01,4.73E+01,130.026,2.64E+01,73.748,2.25E+01
150,12,4.31E+01,4.22E+01,114.121,3.57E+01,151.19,1.21E+01
153,12,4.51E+01,4.50E+01,171.978,3.00E+01,119.957,1.71E+01
156,12,3.28E+01,2.88E+01,131.04,3.05E+01,242.736,3.77E+00
159,12,4.47E+01,4.47E+01,279.944,1.10E+01,15.16,3.37E+01
162,12,3.95E+01,3.75E+01,308.298,3.52E+01,295.208,1.91E+01
165,12,4.85E+01,4.85E+01,304.749,2.54E+01,318.907,3.53E+01
168,12,4.05E+01,3.91E+01,280.475,3.51E+01,293.046,2.01E+01
171,12,5.05E+01,5.04E+01,305.527,3.34E+01,307.297,4.00E+01
174,12,4.50E+01,4.48E+01,330.12,3.04E+01,351.858,2.33E+01
177,12,4.85E+01,4.78E+01,18.812,4.07E+01,305.628,7.65E+00
180,12,6.00E+01,5.99E+01,331.973,4.64E+01,331.973,4.00E+01
0,15,1.08E+02,1.07E+02,62.883,9.59E+01,242.883,4.00E+01
3,15,9.13E+01,9.10E+01,46.145,7.94E+01,227.708,4.00E+01
6,15,9.42E+01,9.39E+01,216.153,8.24E+01,36.49,4.00E+01
9,15,9.17E+01,9.14E+01,68.254,7.99E+01,248.112,4.00E+01
12,15,8.69E+01,8.66E+01,277.22,7.52E+01,96.127,4.00E+01
15,15,8.14E+01,8.11E+01,131.716,6.94E+01,309.396,4.00E+01
18,15,7.71E+01,7.69E+01,358,6.47E+01,177.354,4.00E+01
21,15,7.61E+01,7.58E+01,220.384,6.39E+01,43.021,3.92E+01
24,15,7.60E+01,7.57E+01,65.693,6.42E+01,248.04,3.98E+01
27,15,7.52E+01,7.49E+01,261,6.36E+01,81.426,4.00E+01
30,15,7.31E+01,7.28E+01,93.136,6.17E+01,270.579,3.87E+01
33,15,6.97E+01,6.94E+01,286.569,5.82E+01,99.503,3.00E+01
36,15,6.51E+01,6.48E+01,131.778,5.27E+01,298.408,2.54E+01
39,15,6.19E+01,6.18E+01,357.412,4.76E+01,176.638,4.00E+01
42,15,6.36E+01,6.33E+01,210.992,5.15E+01,39.418,2.91E+01
45,15,6.51E+01,6.47E+01,44.961,5.41E+01,228.433,3.57E+01
48,15,6.49E+01,6.45E+01,234.248,5.44E+01,51.025,3.59E+01
51,15,6.29E+01,6.25E+01,63.37,5.26E+01,231.895,2.47E+01
54,15,5.94E+01,5.91E+01,264.198,4.81E+01,59.897,1.92E+01
57,15,5.73E+01,5.71E+01,124.668,4.21E+01,295.244,3.10E+01
60,15,5.91E+01,5.88E+01,338.783,4.77E+01,168.12,2.76E+01
63,15,6.04E+01,5.99E+01,174.551,5.09E+01,354.307,4.00E+01
66,15,5.97E+01,5.91E+01,8.084,5.08E+01,175.184,2.25E+01
69,15,5.74E+01,5.70E+01,210.946,4.73E+01,3.444,1.72E+01
72,15,5.61E+01,5.59E+01,67.213,4.24E+01,240.332,3.23E+01
75,15,5.71E+01,5.65E+01,277.853,4.77E+01,106.895,2.60E+01
78,15,5.73E+01,5.64E+01,119.843,4.98E+01,294.449,2.89E+01
81,15,5.57E+01,5.51E+01,325.083,4.74E+01,121.507,1.68E+01
84,15,5.41E+01,5.39E+01,176.17,4.12E+01,353.36,3.93E+01
