Theta [deg.],Phi   [deg.],Abs(RCS )[dB(m^2)],Abs(Theta)[dB(m^2)],Phase(Theta)[deg.],Abs(Phi  )[dB(m^2)],Phase(Phi  )[deg.],Ax.Ratio[dB    ]
39,6,-1.09E+02,-1.09E+02,197.569,-1.29E+02,24.6,3.83E+01
42,6,-1.10E+02,-1.10E+02,22.618,-1.29E+02,212.286,3.53E+01
45,6,-1.11E+02,-1.11E+02,207.403,-1.30E+02,38.731,3.34E+01
48,6,-1.11E+02,-1.11E+02,28.27,-1.30E+02,221.067,3.19E+01
51,6,-1.12E+02,-1.12E+02,208.206,-1.30E+02,41.444,3.10E+01
54,6,-1.13E+02,-1.13E+02,26.224,-1.31E+02,219.138,3.08E+01
57,6,-1.14E+02,-1.14E+02,202.606,-1.31E+02,35.594,3.03E+01
60,6,-1.16E+02,-1.16E+02,17.62,-1.32E+02,210.42,3.01E+01
63,6,-1.17E+02,-1.17E+02,191.603,-1.34E+02,24.687,2.97E+01
66,6,-1.19E+02,-1.19E+02,4.301,-1.36E+02,198.564,2.91E+01
69,6,-1.21E+02,-1.21E+02,175.808,-1.39E+02,14.381,2.75E+01
72,6,-1.23E+02,-1.24E+02,344.337,-1.43E+02,200.483,2.38E+01
75,6,-1.25E+02,-1.25E+02,150.426,-1.45E+02,45.228,2.02E+01
78,6,-1.26E+02,-1.26E+02,312.602,-1.44E+02,238.766,1.84E+01
81,6,-1.24E+02,-1.24E+02,113.565,-1.41E+02,50.46,1.78E+01
84,6,-1.22E+02,-1.22E+02,279.281,-1.38E+02,211.202,1.67E+01
87,6,-1.20E+02,-1.20E+02,91.37,-1.36E+02,12.134,1.59E+01
90,6,-1.18E+02,-1.18E+02,268.65,-1.34E+02,179.517,1.61E+01
93,6,-1.17E+02,-1.17E+02,90.771,-1.34E+02,357.427,1.68E+01
96,6,-1.15E+02,-1.15E+02,276.951,-1.33E+02,187.199,1.72E+01
99,6,-1.14E+02,-1.14E+02,103.193,-1.30E+02,21.938,1.60E+01
102,6,-1.14E+02,-1.14E+02,286.576,-1.27E+02,214.223,1.39E+01
105,6,-1.14E+02,-1.14E+02,109.307,-1.25E+02,47.932,1.22E+01
108,6,-1.15E+02,-1.16E+02,294.914,-1.25E+02,250.295,1.28E+01
111,6,-1.16E+02,-1.16E+02,118.777,-1.25E+02,102.864,2.13E+01
114,6,-1.15E+02,-1.16E+02,296.34,-1.27E+02,316.11,2.10E+01
117,6,-1.16E+02,-1.16E+02,109.739,-1.33E+02,171.829,1.77E+01
120,6,-1.18E+02,-1.18E+02,288.028,-1.41E+02,136.094,2.94E+01
123,6,-1.19E+02,-1.20E+02,110.651,-1.34E+02,38.275,1.44E+01
126,6,-1.17E+02,-1.18E+02,279.198,-1.30E+02,264.506,2.50E+01
129,6,-1.16E+02,-1.17E+02,88.989,-1.33E+02,106.903,2.71E+01
132,6,-1.18E+02,-1.18E+02,277.231,-1.44E+02,282.136,4.00E+01
135,6,-1.19E+02,-1.19E+02,104.698,-1.38E+02,80.422,2.71E+01
138,6,-1.17E+02,-1.17E+02,261.76,-1.34E+02,266.434,3.89E+01
141,6,-1.17E+02,-1.17E+02,75.493,-1.38E+02,81.521,4.00E+01
144,6,-1.17E+02,-1.17E+02,276.104,-1.37E+02,263.366,3.33E+01
147,6,-1.17E+02,-1.17E+02,78.05,-1.35E+02,74.299,4.00E+01
150,6,-1.17E+02,-1.17E+02,247.67,-1.38E+02,245.535,4.00E+01
153,6,-1.16E+02,-1.16E+02,93.891,-1.37E+02,85.084,3.72E+01
156,6,-1.17E+02,-1.17E+02,251.067,-1.37E+02,246.537,4.00E+01
159,6,-1.16E+02,-1.16E+02,76.94,-1.37E+02,70.64,4.00E+01
162,6,-1.15E+02,-1.15E+02,271.692,-1.35E+02,267.005,4.00E+01
165,6,-1.17E+02,-1.17E+02,59.938,-1.37E+02,52.75,3.87E+01
168,6,-1.14E+02,-1.14E+02,277.116,-1.34E+02,274.82,4.00E+01
171,6,-1.16E+02,-1.17E+02,66.956,-1.37E+02,63.773,4.00E+01
