#Parameters = {h=500}
#"Wavelength / nm"	"Total ACS [pw] (h=500) [Real Part]"
#------------------------------------------------------
547.00000000000	4725476.0237502
548.00000000000	4519457.2525152
549.00000000000	4327064.9200277
550.00000000000	4154803.4253910
551.00000000000	4003917.6983356
552.00000000000	3871640.2631909
553.00000000000	3753113.3574859
554.00000000000	3643353.2960479
555.00000000000	3538975.0219719
556.00000000000	3439221.9435203
560.00000000000	3160627.2748398
564.00000000000	3337891.7375690
565.00000000000	3473588.1449070
566.00000000000	3641452.7592596
567.00000000000	3836054.2291976
568.00000000000	4050407.2402054
569.00000000000	4276104.5839838
570.00000000000	4503443.3282415
571.00000000000	4721601.1448349
572.00000000000	4918988.1152512
573.00000000000	5083772.2069252
574.00000000000	5204619.5913619
575.00000000000	5271604.5880529
576.00000000000	5277185.4254927
577.00000000000	5217114.1955123
578.00000000000	5091133.7953368
579.00000000000	4903328.8851496
580.00000000000	4662030.5743917
581.00000000000	4379253.1545680
582.00000000000	4069683.1880680
583.00000000000	3749326.5221502
584.00000000000	3433993.8109672
585.00000000000	3137775.2607512
586.00000000000	2871730.8047438
590.00000000000	2186427.1656499
595.00000000000	1809000.4612091
600.00000000000	1383492.9269736
#Parameters = {h=1470}
#"Wavelength / nm"	"Total ACS [pw] (h=1470) [Real Part]"
#-------------------------------------------------------
400.00000000000	15268086.885451
401.00000000000	15686231.658737
402.00000000000	16118796.922942
403.00000000000	16639206.174414
404.00000000000	17232407.329537
405.00000000000	17817774.882155
406.00000000000	18321453.905595
407.00000000000	18729493.097695
408.00000000000	19082556.986498
409.00000000000	19428001.779673
410.00000000000	19775852.427111
411.00000000000	20093684.707108
412.00000000000	20337832.818152
413.00000000000	20490096.740855
414.00000000000	20568819.708885
415.00000000000	20608006.385910
416.00000000000	20624718.343500
417.00000000000	20603284.723104
418.00000000000	20509740.182866
419.00000000000	20323680.293794
420.00000000000	20059193.969530
421.00000000000	19757031.243124
422.00000000000	19452283.967988
423.00000000000	19144690.423991
424.00000000000	18797060.095254
425.00000000000	18365240.646041
426.00000000000	17837999.374437
427.00000000000	17255231.367202
428.00000000000	16685414.718779
429.00000000000	16178932.444335
430.00000000000	15732549.839502
435.00000000000	12958173.424963
440.00000000000	10935761.597528
445.00000000000	8947966.2815335
450.00000000000	7312050.3158634
455.00000000000	6530964.8905643
460.00000000000	5309151.5326947
465.00000000000	4747901.1406501
470.00000000000	4255945.5727805
475.00000000000	3570787.1230342
480.00000000000	3537655.6805333
485.00000000000	2881116.3855178
490.00000000000	3010895.4810818
495.00000000000	2489527.5307443
500.00000000000	2675328.8324862
505.00000000000	2303015.5886688
510.00000000000	2564732.1911243
515.00000000000	2358941.8466637
520.00000000000	2791725.2992082
525.00000000000	2910343.7483661
526.00000000000	3021547.1669376
527.00000000000	3175339.6837177
528.00000000000	3357907.0852263
529.00000000000	3551198.1759001
530.00000000000	3738659.0008369
531.00000000000	3910105.1451680
532.00000000000	4063902.5476296
533.00000000000	4206200.7412266
534.00000000000	4347714.9748929
535.00000000000	4498961.4416229
536.00000000000	4665797.3322620
537.00000000000	4846453.1353061
538.00000000000	5030757.0212662
539.00000000000	5201925.7394697
540.00000000000	5340216.1123193
541.00000000000	5427321.3230319
542.00000000000	5450402.5666182
543.00000000000	5404900.0988140
544.00000000000	5295322.6120549
545.00000000000	5133986.1313557
546.00000000000	4938334.3048583
547.00000000000	4727431.0602834
548.00000000000	4518522.5431061
549.00000000000	4324360.9276056
550.00000000000	4151893.2043431
551.00000000000	4002363.1121759
552.00000000000	3872574.3131546
553.00000000000	3756935.9826451
554.00000000000	3649642.0915316
555.00000000000	3546605.1308606
556.00000000000	3446685.0536227
560.00000000000	3158021.4995411
564.00000000000	3337946.9575960
565.00000000000	3476780.6650246
566.00000000000	3647489.0287307
567.00000000000	3843946.5798164
568.00000000000	4058730.2515700
569.00000000000	4283348.6285976
570.00000000000	4508385.2561920
571.00000000000	4723600.5752915
572.00000000000	4918134.3550485
573.00000000000	5080849.4882791
574.00000000000	5200910.7205788
575.00000000000	5268575.6413627
576.00000000000	5276133.3331161
577.00000000000	5218860.2925212
578.00000000000	5095832.0117823
579.00000000000	4910435.9596178
580.00000000000	4670431.4153773
581.00000000000	4387519.1379938
582.00000000000	4076386.6919538
