#Parameters = {h=500}
#"Wavelength / nm"	"Total RCS [pw] (h=500) [Real Part]"
#------------------------------------------------------
545.00000000000	49749953.131899
546.00000000000	49926363.183556
547.00000000000	50163824.570511
548.00000000000	50473065.948975
549.00000000000	50850753.018724
550.00000000000	51278691.101180
551.00000000000	51727025.686246
552.00000000000	52160345.756577
553.00000000000	52545482.158290
554.00000000000	52858460.268308
555.00000000000	53089589.351666
556.00000000000	53244936.241012
560.00000000000	53565787.789701
564.00000000000	54037459.744181
565.00000000000	54075544.443173
566.00000000000	54026562.204624
567.00000000000	53876934.684403
568.00000000000	53629227.620380
569.00000000000	53302996.983437
570.00000000000	52932193.842875
571.00000000000	52559743.428904
572.00000000000	52230628.159753
573.00000000000	51984653.687073
574.00000000000	51850326.694791
575.00000000000	51841251.038991
576.00000000000	51955132.435689
577.00000000000	52175706.287645
578.00000000000	52476847.538475
579.00000000000	52827939.497864
580.00000000000	53199330.492121
581.00000000000	53566871.622638
582.00000000000	53914724.491981
583.00000000000	54236124.578001
584.00000000000	54532185.944571
585.00000000000	54809243.753128
586.00000000000	55075462.767194
590.00000000000	56101397.462143
595.00000000000	56818906.895826
600.00000000000	56705754.194044
#Parameters = {h=2300}
#"Wavelength / nm"	"Total RCS [pw] (h=2300) [Real Part]"
#-------------------------------------------------------
400.00000000000	33905960.850587
401.00000000000	33240297.211821
402.00000000000	32637622.567397
403.00000000000	32007546.920931
404.00000000000	31311609.695382
405.00000000000	30609673.973989
406.00000000000	30011578.632598
407.00000000000	29581086.297681
408.00000000000	29281271.765794
409.00000000000	29009618.065341
410.00000000000	28689727.147752
411.00000000000	28338154.786634
412.00000000000	28050073.600212
413.00000000000	27918764.382637
414.00000000000	27958606.263202
415.00000000000	28094783.335194
416.00000000000	28224977.734665
417.00000000000	28299868.606784
418.00000000000	28357549.611244
419.00000000000	28487636.285461
420.00000000000	28757089.146303
421.00000000000	29157808.487020
422.00000000000	29614378.581899
423.00000000000	30041844.690699
424.00000000000	30406010.704068
425.00000000000	30740625.149197
426.00000000000	31112100.209033
427.00000000000	31562592.020921
428.00000000000	32074718.485594
429.00000000000	32583338.792641
430.00000000000	33022665.902308
435.00000000000	34646553.366560
440.00000000000	35652498.780515
445.00000000000	36446601.270189
450.00000000000	36619132.459470
455.00000000000	36816292.829297
460.00000000000	37234890.689434
465.00000000000	37307023.393932
470.00000000000	38078380.500584
475.00000000000	38455034.642008
480.00000000000	39439644.731599
485.00000000000	40216588.395408
490.00000000000	41352576.116227
495.00000000000	42396658.373686
500.00000000000	43660322.675187
505.00000000000	44762088.403495
510.00000000000	46091516.979286
515.00000000000	47032860.078927
520.00000000000	48257962.322769
525.00000000000	48734757.676512
526.00000000000	48883547.400199
527.00000000000	49047639.540472
528.00000000000	49203200.112211
529.00000000000	49323794.457174
530.00000000000	49387292.709925
531.00000000000	49382959.362779
532.00000000000	49314055.595475
533.00000000000	49197086.898347
534.00000000000	49058000.666017
535.00000000000	48925255.498007
536.00000000000	48823455.099926
537.00000000000	48768477.435963
538.00000000000	48764809.406240
539.00000000000	48806842.165209
540.00000000000	48882742.513788
541.00000000000	48979640.344397
542.00000000000	49088453.245786
543.00000000000	49207655.264718
544.00000000000	49344019.489288
545.00000000000	49510234.795097
546.00000000000	49720941.025438
547.00000000000	49987619.761656
548.00000000000	50314063.217963
549.00000000000	50693459.416203
550.00000000000	51108430.533956
551.00000000000	51533900.273010
552.00000000000	51941813.988714
553.00000000000	52306933.775266
554.00000000000	52611701.601748
555.00000000000	52849713.896863
556.00000000000	53026443.210013
560.00000000000	53467436.161206
564.00000000000	53905272.767897
565.00000000000	53924699.573063
566.00000000000	53864998.676362
567.00000000000	53716506.759068
568.00000000000	53482746.300865
569.00000000000	53181122.554615
570.00000000000	52840911.948071
571.00000000000	52499007.328556
572.00000000000	52194419.944856
573.00000000000	51962411.183092
574.00000000000	51829378.201280
575.00000000000	51809635.762912
576.00000000000	51904208.219568
577.00000000000	52101936.019318
578.00000000000	52382421.193544
579.00000000000	52720135.459175
580.00000000000	53088799.906140
581.00000000000	53465260.546466
582.00000000000	53832176.507979
