#Parameters = {m=7}
#"Wavelength / nm"	"Total RCS [pw] (m=7) [Real Part]"
#----------------------------------------------------
531.00000000000	50056316.634694
532.00000000000	49959748.107065
533.00000000000	49794187.526836
534.00000000000	49596465.538667
535.00000000000	49408669.828076
536.00000000000	49267685.533051
537.00000000000	49196789.231486
538.00000000000	49201019.463350
539.00000000000	49268566.092409
540.00000000000	49376654.425180
541.00000000000	49500062.794657
542.00000000000	49619471.823660
543.00000000000	49728039.313731
544.00000000000	49833452.661481
545.00000000000	49955050.618509
546.00000000000	50117786.326103
547.00000000000	50344128.996549
548.00000000000	50646472.241512
549.00000000000	51021914.767121
550.00000000000	51451358.942111
551.00000000000	51902974.708902
552.00000000000	52338848.520172
553.00000000000	52723442.864498
554.00000000000	53031169.161218
555.00000000000	53251864.531320
556.00000000000	53392379.667757
560.00000000000	53650522.015231
564.00000000000	54110830.762167
565.00000000000	54147653.522529
566.00000000000	54094419.041230
567.00000000000	53936694.830445
568.00000000000	53677185.870348
569.00000000000	53336525.589591
570.00000000000	52950413.444589
571.00000000000	52563786.568597
572.00000000000	52223434.481541
573.00000000000	51970377.379313
574.00000000000	51833470.574801
575.00000000000	51825759.487485
576.00000000000	51943615.036260
577.00000000000	52168951.729528
578.00000000000	52473724.537808
579.00000000000	52825688.946961
580.00000000000	53194158.328192
581.00000000000	53554716.330615
582.00000000000	53892033.092893
583.00000000000	54200471.560065
584.00000000000	54482631.024649
585.00000000000	54746374.470073
586.00000000000	55001129.187573
590.00000000000	56006111.209035
595.00000000000	56697842.036589
600.00000000000	56528203.748490
#Parameters = {m=17}
#"Wavelength / nm"	"Total RCS [pw] (m=17) [Real Part]"
#-----------------------------------------------------
400.00000000000	31948181.257326
401.00000000000	31428780.868881
402.00000000000	30934566.996922
403.00000000000	30373807.200254
404.00000000000	29738215.568638
405.00000000000	29114914.113335
406.00000000000	28615324.869148
407.00000000000	28283298.922256
408.00000000000	28061452.188508
409.00000000000	27843380.394105
410.00000000000	27565554.774392
411.00000000000	27260569.638913
412.00000000000	27028274.161010
413.00000000000	26951294.782728
414.00000000000	27026655.761155
415.00000000000	27169290.512216
416.00000000000	27282385.757809
417.00000000000	27335355.258710
418.00000000000	27386091.497500
419.00000000000	27531264.212682
420.00000000000	27826073.325170
421.00000000000	28237983.969665
422.00000000000	28669864.890353
423.00000000000	29033016.735934
424.00000000000	29312402.470857
425.00000000000	29573972.127914
426.00000000000	29909761.946866
427.00000000000	30363714.488721
428.00000000000	30893666.413483
429.00000000000	31397832.794201
430.00000000000	31786072.084908
435.00000000000	33216339.876787
436.00000000000	33625756.729160
437.00000000000	33928077.618062
438.00000000000	34081657.265696
439.00000000000	34131437.687717
440.00000000000	34179382.701730
441.00000000000	34319455.896896
442.00000000000	34577660.257773
443.00000000000	34897757.673748
444.00000000000	35177816.933908
445.00000000000	35335103.160044
450.00000000000	35618328.662915
455.00000000000	36243246.358582
460.00000000000	37084883.847857
465.00000000000	37391740.144869
470.00000000000	38697886.827705
475.00000000000	39202859.839611
480.00000000000	40626423.423751
485.00000000000	41493255.117268
490.00000000000	42906462.001903
495.00000000000	43998074.565599
500.00000000000	45399633.981275
505.00000000000	46473372.219409
510.00000000000	47858250.931901
515.00000000000	48657792.412845
520.00000000000	49899875.308673
525.00000000000	50108392.254607
526.00000000000	50258998.599008
527.00000000000	50436226.257070
528.00000000000	50602086.752678
529.00000000000	50716878.661061
530.00000000000	50750208.399176
531.00000000000	50690562.860292
532.00000000000	50548054.280963
533.00000000000	50351505.485673
534.00000000000	50140975.005936
535.00000000000	49956716.780012
536.00000000000	49829538.585401
537.00000000000	49774391.082989
538.00000000000	49788248.033946
539.00000000000	49853762.828619
540.00000000000	49946733.701662
541.00000000000	50044592.340020
542.00000000000	50133966.985778
543.00000000000	50215290.429519
544.00000000000	50302690.659393
545.00000000000	50419240.405566
546.00000000000	50589857.733991
547.00000000000	50833234.039429
548.00000000000	51155275.481464
549.00000000000	51545626.323904
550.00000000000	51978726.408866
551.00000000000	52418924.191434
552.00000000000	52828044.212124
553.00000000000	53173835.654988
554.00000000000	53436628.966654
555.00000000000	53613264.385056
556.00000000000	53716902.874742
560.00000000000	53935352.539290
564.00000000000	54344598.584389
565.00000000000	54340848.028878
566.00000000000	54240256.646993
567.00000000000	54034416.932618
568.00000000000	53732488.515089
569.00000000000	53360604.904910
570.00000000000	52957891.666336
571.00000000000	52569997.381965
572.00000000000	52241661.207679
573.00000000000	52009590.961025
574.00000000000	51897125.077609
575.00000000000	51911586.451014
576.00000000000	52044615.074585
577.00000000000	52275192.031762
578.00000000000	52574555.388860
579.00000000000	52911797.194851
580.00000000000	53259226.880055
581.00000000000	53596226.296220
582.00000000000	53911187.246700
583.00000000000	54201325.908132
584.00000000000	54470678.616731
585.00000000000	54726923.997142
586.00000000000	54977856.024384
590.00000000000	55950680.391117
595.00000000000	56499141.476109
600.00000000000	56267531.630316
